,desc,wordId,wordIdrev
2114,chỉ khâu phẫu thuật demelon- nylon non absorbable suture số 7 0 dài 75cm vòng kim 13mm kim 3 8 tam giác đã được tiệt trùng mới 100 hsx demetech - mỹ năm sx 2017,demelon,
3654,chỉ khâu phẫu thuật tự tiêu liền kim vô trùng dùng trong y tế catgurt size 3 75cm 1 2 45mm 12 sợi tá hàng mới 100 hãng sản xuất shandong sinorgmed co ltd,,
1466,chỉ khâu phẫu thuật c0025032 chủng loại monosyn quick und 4 0 1 5 45cm dsmp19m pac 36pcs hãn sx b braun surgical sa năm sx 2016 hàng mới 100,monosyn qui,
88,băng dính y tế thay chỉ khâu da 3m tm steri-strip tm skin closures r1548 khổ 1 in x 5 in 2 54cm x 12 7cm đóng gói 25 miếng hộp hàng mới 100,steri-,
3181,chỉ khâu phẫu thuật sharp edge tr512 3 8 17 mm double armed 2-0 75cm white 30 sợi hộp,,
2873,chỉ khâu phẫu thuật mắt 1470 loại không tự tiêu chất liệu poly-propylene 12 sợi hộp hãng sản xuất mani inc nhật hàng mới 100 sản xuất năm 2015,propylen,
9312,nl034-3 chỉ khâu phẫu thuật a,,
8595,ethicon bonewax sterile 2g vật liệu cầm máu vô trùng hiệu ethicon product code w810 hàng mới 100,wax,
3784,chỉ khâu phẫu thuật tự tiêu sinh học bán thành phẩm plain usp 0 - 150 cm sợi dùng sản xuất chỉ khâu phẫu thuật tự tiêu catgut-trustigut hàng mới 100,catgut,
4080,chỉ khâu phẫu thuật c0025020 chủng loại monosyn quick und 6 0 10 7 45cm dsmp11 m pac 36pcs năm sx 2014 hãng sx b braun surgical sa hàng mới 100,monosyn qui,
3252,chỉ khâu phẫu thuật -steelex monofilament 2 5 25m f1614088,steel,
5899,chỉ phẫu thuật loại polypropylene 90 cm ep 1 5 usp 4 0 2 needle 1 2 cir taper 25 mm hàng mới 100 sx 2016 lễ sx160929 hạn dùng 09-2021,propylen,
7854,chỉ phẫu thuật chủng loại biosyntm mã sp gm122 36 sợi hộp hsx covidien mới 100,biosyn,
7275,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 2 0 dài 90cm 2 kim 1 2 kim tròn mũi tam giác vòng kim 25mm năm sản xuất 2014 trở đi hãng sản xuất smi ag,propylen,
1256,chỉ khâu phẫu thuật ahal70 a m i hal suture hãng sản xuất ami hàng mới 100 do áo sản xuất,,
11595,miếng ghép thành bụng -optilene mesh 7 5 x 15 cm pac 5pcs 1065030,optilene,
7981,chỉ phẫu thuật chủng loại ticrontm coated and uncoatedbraided polyester mã sp 8886312551 36 sợi hộp hsx covidien mới 100,ticron,
3543,chỉ khâu phẫu thuật tiệt trùng-tự tiêu mitsu sterilized surgical needled suture dyed undyed cỡ số 0 x 90 40mm batch ib17013 12 chiếc tá loại d hãng meril endo surgery pvt ltd mới 100,,
2855,chỉ khâu phẫu thuật mắt 1417 loại không tự tiêu chất liệu poly-propylene 12 sợi hộp hãng sản xuất mani inc nhật hàng mới 100 sản xuất năm 2015,propylen,
7216,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene không kim 15 x 15cm,propylen,
11626,bông thấm máu gelatin sponge 70x50x10mm 05170502 dùng một lần trong y tế hàng mới 100 hộp 20 cái,spon,
145,bông cầm máu tự tiêu surgispon 80 x 30 mm hình trụ vô trùng cầm máu trong phẫu thuật hộp 06 cái mã hàng ssp8030 hàng mới 100 hãng sx aegis lifesciences,spon,
9307,nl029-4 chỉ khâu phẫu thuật 02-pga,pga,
7314,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 5 0 dài 75cm kim 1 2 kim tròn vòng kim 15mm năm sản xuất 2014 trở đi hãng sản xuất smi ag,propylen,
7257,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 10 0 dài 20cm 2 straight needles 16 15mm 150 spatulated,propylen,
7980,chỉ phẫu thuật chủng loại ticrontm coated and uncoatedbraided polyester mã sp 8886297851 36 sợi hộp hsx covidien mới 100,ticron,
9034,miếng cầm máu tại chỗ dùng trong phẫu thuật 1069152 1pac 6pc hàng mới 100,,
7932,chỉ phẫu thuật chủng loại polysorttm braided absorbable suture mã sp gl122 36 sợi hộp hsx covidien mới 100,polysort,
7313,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 5 0 dài 75cm kim 1 2 kim tròn vòng kim 15mm năm sản xuất 2014 trở đi,propylen,
11528,miếng ghép sọ não sinh học tự tiêu - osteomesh 20x80x2mm sn 17003276 to 3285 nsx 08-2016 hsd 08-2019,mesh,
8221,chỉ tự tiêu oryl-910 usp 3-0 20mm 1 2 cricle round body 70cm hàng mới 100,oryl,
2823,chỉ khâu phẫu thuật mắt dùng trong nhãn khoa 1470 chủng loại mani sutures polypropylene 12 sợi hộp hãng sản xuất mani inc nhật hàng mới 100,propylen,
409,chỉ phẫu thuật v-loc 12 sợi hộp vlocm0804 mới 100 nhà sản xuất covidien mỹ,vloc,
5147,chỉ phẫu thuật dùng trong y tế hiệu assut hãng sản xuất assut- thụy sĩ chủng loại polypropylene mã 9347 mới 100 12 tép hộp sản xuất năm 2016,propylen,
6466,chỉ phẫu thuật polypropylene không tiêu tổng hợp tiệt trùng đơn sợi số 4 0 chiều dài sợi chỉ 90 cm sợi chỉ màu xanh 12 sợi hộp code pm1094020c22m nsx demetech mới100,propylen,
847,chỉ khâu phẫu thuật - novosyn quick undy 2 0 3 90cm hr37s mddp pac 36pcs c3046595 hàng mới 100 hsx b braun surgical s a,novosyn qui,
1771,chỉ khâu phẫu thuật g0617135 chủng loại steelex ste set 5 7 4x45cm hrc48 m lp 1pac 12pc hãng sx b braun surgical sa hàng mới 100,steel,
9289,nguyên liệu chỉ phẫu thuật tự tiêu tổng hợp usp 4-0 pgla plus violet dùng sản xuất chỉ catgut-trustigut hàng mới 100,catgut,
5813,chỉ phẫu thuật loại polypropylene 75 cm ep 1 5 usp 4 0 needle 1 2 cir taper 25 mm hàng mới 100,propylen,
2853,chỉ khâu phẫu thuật mắt 1417 loại không tự tiêu chất liệu poly-propylene 12 sợi hộp hãng sản xuất mani inc nhật hàng mới 100 sản xuất năm 2015,propylen,
11913,chỉ phẫu thuật loại polypropylene 75 cm ep 3 5 usp 0 needle 1 2 cir taper 30 mm hàng mới 100 sx 2016 lô sx 150808 hạn dùng 08-2020,propylen,
11487,mảnh ghép tổng hợp cấy ghép vào cơ thể dynamesh ipom ip071515f1 15cmx15cm hộp 1 cái nhà sx feg textiltechnik forschungs-und entwicklungsgesellschaft hàng mới 100,mesh,
11596,miếng ghép thành bụng -optilene mesh 7 5 x 15 cm pac 5pcs 1065030 hàng mới 100 hsx b braun,optilene,
3156,chỉ khâu phẫu thuật -premicron g w 2 0 3 8x75cm 2xhr22b cvmlp pac 6pcs m0027181,premicron,
11486,mảnh ghép tổng hợp cấy ghép vào cơ thể dynamesh endolap 3d pv131015f1 10cmx15cm hộp 1 cái nhà sx feg textiltechnik forschungs-und entwicklungsgesellschaft hàng mới 100,mesh,
7281,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 3 0 dài 75cm kim 1 2 kim tròn vòng kim 25mm năm sản xuất 2014 trở đi hãng sản xuất smi ag,propylen,
6031,chỉ phẫu thuật loại surgical blades sterile n15 hàng mới 100,,
2871,chỉ khâu phẫu thuật mắt 1470 loại không tự tiêu chất liệu poly-propylene 12 sợi hộp hãng sản xuất mani inc nhật hàng mới 100 sản xuất năm 2015,propylen,
4112,chỉ khâu phẫu thuật c0263869 -chủng loại silkam black 2 0 3 13x60cm 1pac 36pc hãng sx b braun surgical sa năm sx 2014 hàng mới 100,silk,
9298,nguyên liệu vật liệu cầm máu tự tiêu tổng hợp hemostat cellulose knitted sheet - dmho303 nhà sản xuất samyang biopharmaceuticals corp hàn quốc hàng mới 100,,
3604,chỉ khâu phẫu thuật tự tiêu vật tư tiêu hao kèm bộ dụng cụ khâu đóng cơ phúc mạc laparoscopy mã ist1011 sản xuất năm 2017 hàng mới 100 hãng nước sx ami agency for medical innovations gmbh áo,,
5350,chỉ phẫu thuật không tiêu polypropylene sợi xanh đơn 10 0 1417 12 cái hộp hãng chủ sở hữu mani inc nhật bản hàng mới 100,propylen,
7318,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 5 0 dài 90cm 2 kim 1 2 kim tròn vòng kim 16mm,propylen,
3745,chỉ khâu phẫu thuật tự tiêu optime r2 0 1 2 kl36 90cm art 12s30al hàng mới 100,optime r,
934,chỉ khâu phẫu thuật polypropylene 75 cm ep0 5 usp7 0 2 x 3 8 cir soft coronar pt 13mm hàng mới 100 sx năm 2017 lô 170201 hạn sử dụng 02 2022,propylen,
5058,chỉ phẫu thuật dùng trong y tế drain tube 7x13 lot e1608875 nsx 2016 hd 2023 nhà sx peters,,
6032,chỉ phẫu thuật loại surgical blades sterile n20 hàng mới 100,,
10434,vật liệu cầm máu dùng cho y tế absorbable hemostat pahacel fibril 2 6cmx5 1cm code pcf11 nsx 2016 hsd 2019 nsx altaylar medikal turkey hộp 10 cái,pahacel fibri,
3217,chỉ khâu phẫu thuật silk-silk black mã 319 dùng để khâu trong phẫu thuật tbyt mới 100 hsx chirana-séc hãng phân phối vitrex-đan mạch năm sx 2016-2017,silk,
5522,chỉ phẫu thuật loại polypropylene 45 cm ep 0 5 usp 7 0 needle 1 2 cir taper 10 mm hàng mới 100 sx 2015 lô sx150808 hạn dùng 08-2020,propylen,
7967,chỉ phẫu thuật chủng loại surgiprotm ii monofilament polypropylene mã sp vp761x 36 sợi hộp hsx covidien mới 100,surgipro,
1894,chỉ khâu phẫu thuật surgical suture polypropylene 0 hr 30mm 75cm code 5350130 nsx 2014 nsx smi a g belgium hộp 12 sợi,propylen,
11622,lưới thoát vị parietex mono polymesh 15x10cm hàng mới 100 nsx pháp năm sx 2015-2016 số gp 606 byt-tb-ct,mesh,
1766,chỉ khâu phẫu thuật g0617135 - chủng loại steelex ste set 5 7 4x45cm hrc48 m lp hãng sx b braun surgical sa năm sx 2016 hàng mới 100,steel,
8904,lưới điều trị thoát vị rm7150sp vigimesh sp 7 5 x 15cm 6cái hộp hàng mới 100 hãng vigilenz medical - malaysia sản xuất,mesh,
8303,dụng cụ chuyên dùng trong nha khoa chỉ khâu phẫu thuật tự tiêu vô trùng - polypropylene 75 cm ep 1 usp 5 0 needle 3 8 19mm hàng mới 100 nhà sản xuất smi ag mã 5101519,propylen,
7260,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 10 0 dài 20cm 2straight needles 16 15mm 150 spatulated năm sản xuất 2014 trở đi,propylen,
9101,miếng vá mạch máu trong tim được tiệt trùng 007839,,
8085,chỉ phẫu thuật polyglactin 910 pgla90 atramat pgla90 surgical suture violet usp 5-0 ep 1 75 cm needle sr-17 premium regular taper point 17mm 1 2 circle năm sx 2017 hàng mới 100 hộp 12 sợi,pgla,
6278,chỉ phẫu thuật mắt 8065711701 12 tép hộp không phải chỉ tiêu hàng mới 100 hãng sản xuất alcon năm sản xuất 2015,,
760,chỉ khâu phẫu thuật - monosyn quick und 6 0 0 7 45cm dsmp11 m c0025020 hàng mới 100 hsx b braun surgical s a,monosyn qui,
46,chỉ phẩu thuật f47rh17w 75cm 12cái hộp hàng mới 100 hãng vigilenz medical - malaysia sản xuất,,
8828,gạc cầm máu vô trùng trong phẫu thuật mới 100 nhãn hiệu smi-spon 80x50x10mm gói 10 miếng năm sản xuất 2014 trở đi hãng sản xuất smi ag,spon,
9338,nl058-3 chỉ khâu phẫu thuật 01-pet đã cắt đoạn dài 75-76 5cm,,
8073,chỉ phẫu thuật polyglactin 910 pgla90 atramat pgla90 surgical suture violet usp 0 ep 3 5 75 cm needle sg-40 premium heavy taper point 40 mm 1 2 circle năm sx 2017 hàng mới 100 hộp 12 sợi,pgla,
8003,chỉ phẫu thuật hàng mới 100,,
11531,miếng ghép sọ não sinh học tự tiêu - osteomesh 25x25x1 25mm sn 17003228 to 3237 nsx 08-2016 hsd 08-2019 mới 100,mesh,
9329,nl049-3 chỉ khâu phẫu thuật b,,
3517,chỉ khâu phẫu thuật tiệt trùng - tự tiêu mitsu sterilized surgicall needled suture cỡ số 1-0 x 90 40mm chủng loại mitsu hãng sx meril endo surgery pvt ltd ấn độ hàng mới 100,,
5356,chỉ phẫu thuật không tiêu polypropylene sợi xanh đơn 6 0 3310s hãng chủ sở hữu mani inc nhật bản hàng mới 100,propylen,
6588,chỉ phẫu thuật -steelex monofilament 2 5 25m f1614088,steel,
11750,chỉ khâu phẫu thuật mắt 1470 loại không tự tiêu chất liệu poly-propylene 12 sợi hộp hãng sản xuất mani inc nhật hàng mới 100 sản xuất năm 2015 2016,propylen,
2086,chỉ khâu phẫu thuật -dafilon blue 5 0 75cm ds16 pac 36pcs c0935123 hàng mới 100 hsx b braun,dafilon,
842,chỉ khâu phẫu thuật - novosyn quick undy 2 0 3 70cm hr30 m ddp c3046047,novosyn qui,
10359,suture 12 10-0 bmn da 175d nu1 - chỉ phẫu thuật mắt 10 0nylon - 12 cái hộp - hàng mới 100,nylon,
10471,vật liệu cầm máu tiệt trùng không tẩm thuốc gelita-cell 50x70mm 15 miếng hộp gc507 hãng sx gelita medical gmbh hàng mới 100,gelita-cel,
8113,chỉ phẫu thuậtpolysorb 36 tép hộp mới 100 gl122 nhà sản xuất covidien năm sản xuất 2015,polysorb,
9030,miếng cầm máu tại chỗ dùng trong phẫu thuật nội soi 1069152 1pa 6pc hàng mới 100,,
7287,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 3 0 dài 90cm 2 kim 1 2 kim tròn vòng kim 25mm năm sản xuất 2014 trở đi,propylen,
5835,chỉ phẫu thuật loại polypropylene 45cm ep 0 5 usp 7 0 needle 1 2cir tapper 10mm hàng mới 100 sx 2015 lô sx150808 hạn dùng 08-2020,propylen,
3210,chỉ khâu phẫu thuật -silkam black 4 0 1 5 75 cm ds19 pac 36pcs c0765201 hàng mới 100 hsx b braun surgical s a,silk,
5235,chỉ phẫu thuật không tiêu cordonnet mã 151 size 50 chiều dài 260 m vật tư y tế trọng lượng mỗi cuộn 20g 10 cuộn hộp hàng mới 100 do hãng dmc sản xuất,,
7254,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 1 dài 90cm kim 1 2 kim tròn vòng kim 40mm năm sản xuất 2014 trở đi hãng sản xuất smi ag,propylen,
2089,chỉ khâu phẫu thuật -dafilon blue 5 0 75cm ds16 pac 36pcs c0935123 hàng mới 100 hsx b braun,dafilon,
11499,mãnh ghép tổng hợp cấy ghép vào cơ thể dynamesh pp light 15x15cm mssp pp011515f5 hộp 5 cái nsx 04 2015 hd 5 năm nhà sx feg textiltechnik forschungs-und entwicklungsgesellschaft hàng mới 100,mesh,
936,chỉ khâu phẫu thuật polypropylene 90 cm ep 1 5 usp 4 0 2 needles 1 2 cir taper 20 mm sx năm 2017 lô 161222 hạn sử dụng 12 2021,propylen,
5345,chỉ phẫu thuật không tiêu polypropylene 75 cm ep 3 5 usp 0 needle 1 2 cir taper 30 mm hàng mới 100 sx năm 2017 lô170102 hạn sử dụng 01 2022,propylen,
5439,chỉ phẫu thuật không tự tiêu 10 0 black mono 17 ply 500 yds hãng sản xuất ashaway line twine mfg co mỹ mới 100,,
7234,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene không kim dài 5 x10cm gói 5 sợi năm sản xuất 2014 trở đi hãng sản xuất smi ag,propylen,
1882,chỉ khâu phẫu thuật surgical suture luxylene polypropylene 7 0 hr 2x10mm 60cm code pp70hr10-d nsx 2016 nsx luxsutures ag luxembourg hộp 12 sợii,luxylen,
5883,chỉ phẫu thuật loại polypropylene 75 cm ep0 5 usp7 0 2 x 3 8 cir soft coronar pt 8mm hàng mới 100,propylen,
3159,chỉ khâu phẫu thuật -premicron g w2 0 3 8x75cm2xhr26bcvpf6mlp pac 6pcs m0027199,premicron,
5866,chỉ phẫu thuật loại polypropylene 75 cm ep 1 5 usp 4 0 needle 1 2 cir taper 25 mm hàng mới 100 sx 2016 lô sx160827 hạn dùng 08-2021,propylen,
8903,lưới điều trị thoát vị rm6110sp vigimesh sp 6cm x 11cm 6cái hộp hàng mới 100 hãng vigilenz medical - malaysia sản xuất,mesh,
7984,chỉ phẫu thuật chủng loại ticrontm coated and uncoatedbraided polyester mã sp 8886338556 6 sợi hộp hsx covidien mới 100,ticron,
10366,suture 12 s 10-0 blue mpp sc-5 chỉ phẫu thuật mắt 10 0polypropylene - 8065308001 hàng mới 100,propylen,
5149,chỉ phẫu thuật dùng trong y tế hiệu assut hãng sản xuất assut- thụy sĩ chủng loại polypropylene mã 9603805 mới 100 12 tép hộp sản xuất năm 2016 hàng f o c,propylen,
7125,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu catgutplain có thời gian tự tiêu 7 ngày số 0 dài 75cm kim 1 2 kim tròn vòng kim 37mm,catgut,
6277,chỉ phẫu thuật mắt 8065711701 12 tép hộp không phải chỉ tiêu hàng mới 100 hãng sản xuất alcon ngày sx 01 2016 02 2016 03 2016 hạn sử dụng 12 2020 01 2021 02 2021,,
2087,chỉ khâu phẫu thuật -dafilon blue 5 0 75cm ds16 pac 36pcs c0935123 hàng mới 100 hsx b braun,dafilon,
11489,mãnh ghép tổng hợp cấy ghép vào cơ thể dynamesh pp standard 6x11cm hộp 5 cái nhà sx feg textiltechnik forschungs-und entwicklungsgesellschaft hàng mới 100,mesh,
7219,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene không kim 5 x 10cm năm sản xuất 2014 trở đi,propylen,
9015,mersilk 2 0 75cm 25mm 0 5c o chỉ phẫu thuật từ tơ tằm vô trùng không tự tiêu hiệu ethicon product code w327 hộp 12 cái hàng mới 100,silk,
8115,chỉ phẫu thuậtpolysorb 36 tép hộp cl914 mới 100 năm sản xuất 2015 nhà sản xuất covidien,polysorb,
1200,chỉ khâu phẫu thuật - steelex ste set 5 7 4x45cm hrc48 m lp pac 12pcs g0617135 hàng mới 100 hsx b braun surgical s a,steel,
5932,chỉ phẫu thuật loại poyester green 75 cm ep 2 usp 3 0 needle 1 2 cir taper 26 mm hàng mới 100 sx 2015 lô sx150101 hạn dùng 01 2020,,
7336,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 7 0 dài 45cm kim 1 2 kim tròn vòng kim 10mm năm sản xuất 2014 trở đi hãng sản xuất smi ag,propylen,
1975,chỉ khâu phẫu thuật 4 0ptfe surgical suture mono 75cm taper point 13mm 3 8 0 24mm 2 needles mới 100 hãng sx golnit ltd dùng phẫu thuật tim cấy ghép lâu dài trong cơ thể người,ptfe,
8899,lưới điều trị thoát vị rm5100sp vigimesh sp 5cm x 10cm 6cái hộp hàng mới 100 hãng vigilenz medical - malaysia sản xuất,mesh,
1898,chỉ khâu phẫu thuật surgical suture polypropylene 4 0 hr 2x20mm 90cm code 5150120-2 nsx 2014 nsx smi a g belgium hộp 12 sợi,propylen,
1175,chỉ khâu phẩu thuật - silkam black 3 0 2 13 x 60 cm pac 36pcs c0263850,silk,
7858,chỉ phẫu thuật chủng loại caprosyntm mã sp sc5637g 12 sợi hộp hsx covidien mới 100,caprosyn,
10486,vật liệu cầm máu tự tiêu tổng hợp hemostat cellulose knitted sheet - dmho303 nhà sản xuất samyang biopharmaceuticals corp hàn quốc hàng mới 100,,
4580,chỉ phẫu thuật - steelex monofilament 2 5 25m f1614088,steel,
3122,chỉ khâu phẫu thuật polypropylene 75 cm ep 1 5 usp 4 0 needle 3 8 cir cutting 19 mm hàng mới 100 sx năm 2017 lô 170102 hạn sử dụng 1 2022,propylen,
11813,chỉ khâu phẫu thuật g0617144 chủng loại steelex ste set 1 4 4x45cm hrc37ss m lp 1pa 12pc hãng sx b braun surgical sa năm sx 2016 hàng mới 100,steel,
7688,chỉ phẫu thuật vô trùng nhãn hiệu polypropylene không kim 7 5 x 15cm,propylen,
11498,mãnh ghép tổng hợp cấy ghép vào cơ thể dynamesh pp light 10x15cm hộp 5 cái nhà sx feg textiltechnik forschungs-und entwicklungsgesellschaft hàng mới 100,mesh,
7888,chỉ phẫu thuật chủng loại maxontm monofilament absorbable suture mã sp 8886621321 36 sợi hộp hsx covidien mới 100,maxon,
1249,chỉ khâu phẫu thuật tro-silkofil 75cm usp 2 0 4 0 hộp 12 cái hàng y tế mới 100,silk,
470,chỉ khâu dùng trong phẫu thuật mắt aurosilk 8 0 - model 8482vs hãng sx aurolab hàng mới 100,silk,
4113,chỉ khâu phẫu thuật c0263869 chủng loại silkam black 2 0 3 13x60cm năm 2014 hãng sx b braun surgical sa 1pac 36pc hàng mới 100,silk,
5892,chỉ phẫu thuật loại polypropylene 90 cm ep 1 usp 5 0 double needle 1 2 cir taper 20 mm hàng mới 100,propylen,
3538,chỉ khâu phẫu thuật tiệt trùng - tự tiêu mitsu sterilized surgical needled suture dyed undyed cỡ số 6-0 x 45 13mm batch en17002 12 chiếc tá hãng meril endo surgery pvt ltd mới 100,,
3939,chỉ khâu phẫu thuật v-loc 180 số 3-0 loại tự tiêu mã vlocl0604 12 cuộn hộp mới 100 sản xuất năm 2016 hãng sx covidien,vloc,
1874,chỉ khâu phẫu thuật surgical suture luxylene polypropylene 0 hr 30mm 75cm code pp00hr30 nsx 2016 nsx luxsutures ag luxembourg hộp 12 sợi,luxylen,
7308,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 5 0 dài 75cm kim 1 2 kim tròn vòng kim 15mm năm sản xuất 2014 trở đi hãng sản xuất smi ag,propylen,
9226,nguyên liệu chỉ khâu phẫu thuật tự tiêu 1 50m chromic usp 3 0 - premium hãng sản xuất cofibam ind e com de fios e cabos ltda brazil dùng sản xuất chỉ catgut-trustigut hàng mới 100,catgut,
7349,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 7 0 dài 75cm 2x 3 8 cir soft coronar 8mm năm sản xuất 2014 trở đi hãng sản xuất smi ag,propylen,
3527,chỉ khâu phẫu thuật tiệt trùng - tự tiêu mitsu sterilized surgical needled suture dyed undyed cỡ số 1 x 90 40mm batch ib17022 12 chiếc tá loại d hãng meril endo surgery pvt ltd mới 100,,
8895,lưới điều trị thoát vị rm1015sp vigimesh sp 10cm x 15cm 3cái hộp hàng mới 100 hãng vigilenz medical - malaysia sản xuất,mesh,
5409,chỉ phẫu thuật không tiêuticron 6 tép hộp 88863385-56 mới 100 nhà sản xuất covidien mỹ,ticron,
4398,chỉ khâu phẫu thuật-safil violet 3 0 2 70cm hr26 pac 36pcs c1048041 hàng mới 100,safil,
4279,chỉ khâu phẫu thuật g0617142 - chủng loại steelex 2 5 4x45cm hrc37ss m lp pac 12pcs hãng sx b braun surgical sa năm sx 2015 hàng mới 100,steel,
9302,nl020-4 chỉ khâu phẫu thuật c,,
3251,chỉ khâu phẫu thuật -steelex monofilament 1 4 25m f1614070,steel,
8902,lưới điều trị thoát vị rm6110sp vigimesh sp 6 x 11cm 6cái hộp hàng mới 100 hãng vigilenz medical - malaysia sản xuất,mesh,
11535,miếng ghép sọ não sinh học tự tiêu - osteomesh 37x34x10mm sn 17005811 nsx 12-2016 hsd 12-2019 mới 100,mesh,
4747,chỉ phẩu thuật b64cd120 12mm 12cái hộp hàng mới 100 hãng vigilenz medical - malaysia sản xuất,,
2291,chỉ khâu phẫu thuật dùng trong y tế polytresse2 1 2 t40 75cm osh lô 25640 hd 2020 nhà sx peters surgical,,
7269,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 2 0 dài 90cm 2 kim 1 2 kim tròn vòng kim 25mm năm sản xuất 2014 trở đi,propylen,
2112,chỉ khâu phẫu thuật demelon- nylon non absorbable suture số 6 0 dài 75cm vòng kim 13mm kim 3 8 tam giác đã được tiệt trùng mới 100 hsx demetech - mỹ năm sx 2017,demelon,
7978,chỉ phẫu thuật chủng loại ticrontm coated and uncoatedbraided polyester mã sp 8886280851 36 sợi hộp hsx covidien mới 100,ticron,
7311,chỉ phẫu thuật vô trùng mới 100 nhãn hiệu polypropylene số 5 0 dài 75cm 2kim 1 2 kim tròn vòng kim 13mm,propylen,
5228,chỉ phẫu thuật không tiêu,,
9071,miếng đệm chỉ khâu trong phẫu thuật c0027995 chủng loại pledgets 6x3mm 1pa 36pc hãng sx b braun surgical sa năm sx 2015 2016 hàng mới 100,,
860,chỉ khâu phẫu thuật - novosyn quick undy 5 0 1 70cm hr17 m ddp c3046012,novosyn qui,
7897,chỉ phẫu thuật chủng loại monosoftm monofilament nylon mã sp sn662 sợi dài 45cm kim dài 19mm 36 sợi hộp mới 100,monosof,
1385,chỉ khâu phẫu thuật 02-pga,pga,
7985,chỉ phẫu thuật chủng loại vascufiltm coated monofilamentpolybutester mã sp 8886470511v 36 sợi hộp hsx covidien mới 100,vascufil,
3400,chỉ khâu phẫu thuật suture v-loc 180 device 2-0 v-20 30cm loại cắt mã vlocl0615 12 cuộn hộp mới 100 sản xuất năm 2015 hãng sx covidien,vloc,
526,chỉ khâu phẫu thuật c0263869 chủng loại silkam black 2 0 3 13x60cm hãng sx b braun surgical sa năm sx 2015 hàng mới 100,silk,
1464,chỉ khâu phẫu thuật c0025024 chủng loại monosyn quick und 5 0 1 45cm dsmp13 m hãng sx b braun surgical sa năm sx 2016 hàng mới 100,monosyn qui,
6525,chỉ phẩu thuật s34cd160 45cm 16mm 12cái hộp hàng mới 100 hãng vigilenz medical - malaysia sản xuất,,
