,descVec,wordIdVec
29,"[2427, 3954, 4687, 3210, 4726, 3752, 4628, 5334, 5326, 1423, 40, 1319, 322, 2560, 3149, 3137, 2432, 4627, 3153, 3450, 3174, 3663, 2074, 3135, 3602, 191]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"[4624, 3952, 2569, 3585, 4845, 4646, 4730, 3206, 2711, 4760, 3954, 4687, 0, 2387, 1423, 2456, 5244, 1597, 2456, 3782, 856, 514, 3817]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"[2427, 3954, 4687, 4841, 3151, 5324, 4628, 4015, 1840, 2603, 2706, 1633, 2456, 3584, 4798, 4626, 1200, 40, 3215, 4773, 2706, 1030, 180, 772, 5030, 4773, 3586, 3135, 2944, 3149, 322, 4797, 3137, 4624, 5283, 2616, 3135, 3139, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,"[2427, 3209, 3953, 4687, 757, 1837, 180, 772, 2435, 4217, 2464, 3625, 2433, 3324, 2025, 4541, 322, 4797, 3149, 3137, 4546, 2703, 4118, 3332, 3759, 4546, 793, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"[2427, 3209, 3954, 4687, 3308, 3215, 3196, 4891, 3301, 1078, 1089, 2576, 1360, 191, 2409, 3149, 4624, 5283, 3759, 793, 3137, 4624, 5283, 2836, 2461, 3332, 2711, 4760, 5288, 4809, 3135, 3602, 191]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
34,"[2795, 2808, 3016, 1830, 3436, 1200, 40, 4903, 2427, 3209, 3954, 4687, 5031, 4774, 3078, 2797, 3137, 2796, 3174, 4089, 2464, 5105, 3149, 322, 2560, 3135, 3602, 191, 3324, 2580]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,"[3509, 4708, 3585, 2969, 4474, 1607, 112, 2711, 180, 3408, 4760, 5288, 4809, 3135, 3602, 191, 3149, 781, 2560]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"[3202, 4392, 3145, 5027, 3592, 3585, 5025, 3583, 3757, 1119, 3135, 3602, 191, 1423, 3035, 3149, 3137, 4546, 2517, 3605, 2011, 3249]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
37,"[5032, 3309, 2569, 3585, 2711, 2412, 5288, 4809, 1894, 3068, 3820, 2845, 3798, 4229, 2388, 1423, 758, 1099, 2464, 3842, 3737, 793, 3123, 801, 3737, 1917, 3472, 2461, 3332, 3149, 183, 2560]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,"[3653, 3309, 2427, 3954, 4687, 3210, 4845, 4726, 214, 4520, 2601, 4453, 2026, 1597, 40, 4013, 2711, 4624, 5283, 2427, 4014, 2331, 3137, 4624, 5283, 4664, 3472, 3605, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,"[4937, 4943, 1642, 3435, 1423, 1340, 40, 4214, 3983, 2427, 3954, 4687, 4841, 3151, 4845, 4726, 4730, 4774, 4089, 2464, 5155, 3078, 2796, 3149, 322, 2560, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,"[4937, 4943, 1642, 3437, 1423, 40, 3500, 3983, 2427, 3954, 4687, 4841, 3151, 4845, 4726, 5031, 4774, 3078, 2796, 4089, 2464, 5167, 3149, 322, 2560, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,"[2427, 3209, 3954, 4687, 4757, 1642, 4878, 772, 40, 3149, 322, 2560, 3135, 5288, 4809, 3602, 191]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,"[3882, 3169, 1541, 40, 1603, 1091, 2427, 3209, 3954, 4687, 5031, 4774, 3078, 2796, 4089, 2464, 5302, 3149, 1306, 2560, 3135, 3602, 191, 3324, 2580]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,"[3530, 4943, 1603, 3436, 1200, 40, 4214, 2427, 3209, 3954, 4687, 5031, 4774, 3078, 2796, 4089, 2464, 5080, 3149, 322, 2560, 3135, 3602, 191, 3324, 2580]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,"[2427, 3209, 3953, 4687, 0, 3545, 4945, 772, 40, 1200, 1603, 3090, 3411, 3817, 1312, 2125]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,"[3882, 3169, 1423, 40, 572, 2534, 2539, 2427, 3209, 3954, 4687, 5031, 4774, 3078, 2797, 3137, 4546, 3198, 3198, 3472, 3304, 4089, 2464, 5210, 3149, 971, 2560, 3135, 3602, 191, 3324, 2580]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,"[2427, 3954, 4687, 2069, 4702, 3952, 3210, 4845, 4726, 2027, 4008, 3537, 4878, 2464, 1542, 3137, 4624, 5283, 3463, 3535, 4661, 3334, 2049, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,"[2427, 3209, 3954, 4687, 3214, 4774, 3308, 3215, 4010, 4539, 3556, 1089, 2576, 1323, 191, 2409, 3149, 3137, 4624, 5283, 892, 2390, 3472, 2461, 3332, 3759, 4624, 5283, 797, 2711, 4760, 5288, 4809, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,"[3882, 3169, 40, 1830, 3437, 1423, 4898, 2427, 3954, 4687, 4841, 3151, 4845, 4726, 4730, 4774, 3078, 2796, 4089, 2464, 5183, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,"[3509, 2978, 4625, 3757, 4392, 3145, 4845, 4726, 0, 3787, 1028, 1026, 4439, 590, 4735, 1852, 3737, 120, 3123, 122, 4439, 592, 4735, 1042, 3737, 143, 3123, 144]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,"[3509, 2978, 4702, 2081, 24, 3488, 3330, 434, 5244, 434, 2456, 3817, 1527, 244]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,"[2795, 2808, 0, 2795, 772, 40, 1041, 281, 4904, 3973, 2427, 3209, 3954, 4687, 5031, 4774, 3078, 2796, 4089, 2464, 5038, 3149, 1541, 4797, 3135, 3602, 191, 3324, 2580]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,"[4095, 2033, 1143, 1597, 40, 2584, 2064, 2427, 3954, 4687, 4841, 3151, 5334, 4628, 3210, 4726, 4730, 4774, 3078, 2796, 4089, 2464, 3446, 3149, 322, 2560, 3135, 3602, 191, 3324, 2580]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,"[2427, 3209, 3954, 4687, 0, 3544, 4979, 180, 1340, 1830, 3101, 3411, 3817, 999, 1953, 3135, 3602, 191, 3124, 1949, 2050]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,"[4937, 4863, 1642, 1340, 40, 3836, 4086, 2427, 3954, 4687, 4841, 3151, 4845, 4726, 4730, 4774, 3078, 2796, 3521, 5207, 3149, 971, 2560, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,"[2427, 3209, 3954, 4687, 3308, 3215, 5031, 4774, 2711, 5341, 3209, 5033, 4706, 3652, 2584, 3950, 2571, 2427, 3752, 772, 40, 1642, 1200, 1659, 1041, 322, 4628, 4794, 3602, 191, 3759, 4624, 5283, 797, 3137, 4624, 5283, 4354, 4393, 2461, 3332]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,"[4937, 4943, 1226, 3412, 1423, 1597, 40, 4675, 2427, 3954, 4687, 4841, 3151, 4845, 4726, 4730, 4774, 3078, 2796, 4089, 2464, 5203, 3149, 322, 2560, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,"[2427, 3209, 3954, 4687, 4845, 4726, 2711, 4760, 5288, 4809, 355, 3779, 4147, 772, 40, 180, 1113, 1830, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,"[2427, 3209, 3954, 4687, 3324, 2571, 2053, 4878, 1200, 40, 3586, 1988, 322, 2544, 3149, 4546, 3759, 797, 3602, 191, 3137, 4546, 4939, 3472, 2622]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,"[2427, 3954, 4687, 4530, 1306, 4797, 3149, 5012, 3602, 191, 3660, 4624, 5283, 2488]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,"[4095, 2033, 1642, 1541, 40, 2584, 2084, 2427, 3209, 3954, 4687, 5031, 4774, 3078, 2796, 4089, 2464, 1707, 3149, 1306, 2560, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,"[3882, 3169, 4943, 1597, 40, 1603, 2341, 2427, 3954, 4687, 4841, 3151, 4845, 4726, 4730, 4774, 3078, 2796, 4089, 2464, 5304, 3149, 971, 2560, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,"[2427, 3954, 4687, 3210, 4845, 4726, 1541, 40, 2027, 3529, 193, 5295, 3137, 4624, 5283, 1933, 3305, 4792, 3493, 2461, 3605, 3602, 191]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
63,"[4937, 4943, 1830, 180, 2522, 2427, 3954, 4687, 4841, 3151, 4845, 4726, 4730, 4774, 3078, 2796, 4089, 2464, 5186, 3149, 322, 2560, 3135, 3602, 191]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,"[2427, 3209, 3954, 4687, 2192, 0, 2433, 3324, 2591, 1541, 40, 40, 1597, 1396, 2663, 3817, 1312, 3137, 4546, 1949, 2050, 4525, 4304, 3759, 4546, 797, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,"[4095, 2033, 1830, 3435, 1423, 1340, 40, 2344, 2427, 3209, 3954, 4687, 5031, 4774, 3078, 2796, 4089, 2464, 5143, 3149, 322, 2560, 3135, 3602, 191, 3324, 2580]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,"[4937, 4210, 4863, 1642, 1200, 40, 4104, 4085, 2427, 3954, 4687, 4841, 3151, 4845, 4726, 4730, 4774, 3078, 2796, 4089, 2464, 5217, 3149, 322, 2560, 3135, 3602, 191]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,"[4937, 4212, 1200, 40, 1643, 2551, 2427, 3954, 4687, 4841, 3151, 4845, 4726, 5031, 4774, 3078, 2796, 4089, 2464, 5221, 3149, 322, 2560, 3135, 3602, 191, 3324, 2580]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,"[2427, 3209, 3954, 4687, 3210, 4726, 2711, 4760, 5288, 4809, 2482, 1541, 40, 180, 772, 4153, 2584, 1556, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,"[2427, 3209, 3954, 4687, 4845, 4726, 2711, 4760, 5288, 4809, 515, 1905, 1200, 40, 180, 772, 4167, 1603, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,"[2427, 3209, 3954, 4687, 4626, 781, 2711, 4760, 3661, 3204, 2433, 3324, 3450, 4541, 4384, 322, 5330, 3149, 3137, 4624, 5283, 3450, 3174, 3663, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,"[2427, 3209, 3954, 4687, 35, 4945, 1200, 40, 772, 1603, 2669, 3411, 3817, 1312, 2228, 3759, 4624, 5283, 791, 3135, 3602, 191]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,"[2795, 2808, 0, 2795, 40, 3016, 675, 3608, 2427, 3209, 3954, 4687, 5031, 4774, 3078, 2797, 3137, 2796, 3174, 4089, 2464, 5097, 3149, 322, 2560, 3135, 3602, 191, 3324, 2580]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
