descVec,wordIdVec
"[0, 4627, 3955, 2572, 3588, 4848, 4649, 4733, 3209, 2714, 4763, 3957, 4690, 3, 2390, 1426, 2459, 5247, 1600, 2459, 3785, 859, 517, 3820, 1]","[0, 2390, 1]"
"[0, 2430, 3957, 4690, 4844, 3154, 5327, 4631, 4018, 1843, 2606, 2709, 1636, 2459, 3587, 4801, 4629, 1203, 43, 3218, 4776, 2709, 1033, 183, 775, 5033, 4776, 3589, 3138, 2947, 3152, 325, 4800, 3140, 4627, 5286, 2619, 3138, 3142, 3605, 194, 1]","[0, 2606, 1]"
"[0, 2430, 3212, 3956, 4690, 760, 1840, 183, 775, 2438, 4220, 2467, 3628, 2436, 3327, 2028, 4544, 325, 4800, 3152, 3140, 4549, 2706, 4121, 3335, 3762, 4549, 796, 3138, 3605, 194, 1]","[0, 2028, 1]"
"[0, 2430, 3212, 3957, 4690, 3311, 3218, 3199, 4894, 3304, 1081, 1092, 2579, 1363, 194, 2412, 3152, 4627, 5286, 3762, 796, 3140, 4627, 5286, 2839, 2464, 3335, 2714, 4763, 5291, 4812, 3138, 3605, 194, 1]","[0, 1]"
"[0, 2798, 2811, 3019, 1833, 3439, 1203, 43, 4906, 2430, 3212, 3957, 4690, 5034, 4777, 3081, 2800, 3140, 2799, 3177, 4092, 2467, 5108, 3152, 325, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 2798, 1]"
"[0, 3512, 4711, 3588, 2972, 4477, 1610, 115, 2714, 183, 3411, 4763, 5291, 4812, 3138, 3605, 194, 3152, 784, 2563, 1]","[0, 4476, 1]"
"[0, 3205, 4395, 3148, 5030, 3595, 3588, 5028, 3586, 3760, 1122, 3138, 3605, 194, 1426, 3038, 3152, 3140, 4549, 2520, 3608, 2014, 3252, 1]","[0, 2014, 1]"
"[0, 5035, 3312, 2572, 3588, 2714, 2415, 5291, 4812, 1897, 3071, 3823, 2848, 3801, 4232, 2391, 1426, 761, 1102, 2467, 3845, 3740, 796, 3126, 804, 3740, 1920, 3475, 2464, 3335, 3152, 186, 2563, 1]","[0, 3823, 2847, 1]"
"[0, 3656, 3312, 2430, 3957, 4690, 3213, 4848, 4729, 217, 4523, 2604, 4456, 2029, 1600, 43, 4016, 2714, 4627, 5286, 2430, 4017, 2334, 3140, 4627, 5286, 4667, 3475, 3608, 3138, 3605, 194, 1]","[0, 4016, 1]"
"[0, 4940, 4946, 1645, 3438, 1426, 1343, 43, 4217, 3986, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 4092, 2467, 5158, 3081, 2799, 3152, 325, 2563, 3138, 3605, 194, 1]","[0, 4940, 1]"
"[0, 4940, 4946, 1645, 3440, 1426, 43, 3503, 3986, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 5034, 4777, 3081, 2799, 4092, 2467, 5170, 3152, 325, 2563, 3138, 3605, 194, 1]","[0, 4940, 1]"
"[0, 2430, 3212, 3957, 4690, 4760, 1645, 4881, 775, 43, 3152, 325, 2563, 3138, 5291, 4812, 3605, 194, 1]","[0, 4760, 1]"
"[0, 3885, 3172, 1544, 43, 1606, 1094, 2430, 3212, 3957, 4690, 5034, 4777, 3081, 2799, 4092, 2467, 5305, 3152, 1309, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 3885, 1]"
"[0, 3533, 4946, 1606, 3439, 1203, 43, 4217, 2430, 3212, 3957, 4690, 5034, 4777, 3081, 2799, 4092, 2467, 5083, 3152, 325, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 3533, 1]"
"[0, 2430, 3212, 3956, 4690, 3, 3548, 4948, 775, 43, 1203, 1606, 3093, 3414, 3820, 1315, 2128, 1]","[0, 3548, 1]"
"[0, 3885, 3172, 1426, 43, 575, 2537, 2542, 2430, 3212, 3957, 4690, 5034, 4777, 3081, 2800, 3140, 4549, 3201, 3201, 3475, 3307, 4092, 2467, 5213, 3152, 974, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 3885, 1]"
"[0, 2430, 3957, 4690, 2072, 4705, 3955, 3213, 4848, 4729, 2030, 4011, 3540, 4881, 2467, 1545, 3140, 4627, 5286, 3466, 3538, 4664, 3337, 2052, 3138, 3605, 194, 1]","[0, 4011, 1]"
"[0, 2430, 3212, 3957, 4690, 3217, 4777, 3311, 3218, 4013, 4542, 3559, 1092, 2579, 1326, 194, 2412, 3152, 3140, 4627, 5286, 895, 2393, 3475, 2464, 3335, 3762, 4627, 5286, 800, 2714, 4763, 5291, 4812, 3138, 3605, 194, 1]","[0, 4013, 1]"
"[0, 3885, 3172, 43, 1833, 3440, 1426, 4901, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 3081, 2799, 4092, 2467, 5186, 3138, 3605, 194, 1]","[0, 3885, 1]"
"[0, 3512, 2981, 4628, 3760, 4395, 3148, 4848, 4729, 3, 3790, 1031, 1029, 4442, 593, 4738, 1855, 3740, 123, 3126, 125, 4442, 595, 4738, 1045, 3740, 146, 3126, 147, 1]","[0, 3491, 1]"
"[0, 3512, 2981, 4705, 2084, 27, 3491, 3333, 437, 5247, 437, 2459, 3820, 1530, 247, 1]","[0, 3781, 1]"
"[0, 2798, 2811, 3, 2798, 775, 43, 1044, 284, 4907, 3976, 2430, 3212, 3957, 4690, 5034, 4777, 3081, 2799, 4092, 2467, 5041, 3152, 1544, 4800, 3138, 3605, 194, 3327, 2583, 1]","[0, 2798, 1]"
"[0, 4098, 2036, 1146, 1600, 43, 2587, 2067, 2430, 3957, 4690, 4844, 3154, 5337, 4631, 3213, 4729, 4733, 4777, 3081, 2799, 4092, 2467, 3449, 3152, 325, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 4098, 1]"
"[0, 2430, 3212, 3957, 4690, 3, 3547, 4982, 183, 1343, 1833, 3104, 3414, 3820, 1002, 1956, 3138, 3605, 194, 3127, 1952, 2053, 1]","[0, 3547, 1]"
"[0, 4940, 4866, 1645, 1343, 43, 3839, 4089, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 3081, 2799, 3524, 5210, 3152, 974, 2563, 3138, 3605, 194, 1]","[0, 4940, 1]"
"[0, 2430, 3212, 3957, 4690, 3311, 3218, 5034, 4777, 2714, 5344, 3212, 5036, 4709, 3655, 2587, 3953, 2574, 2430, 3755, 775, 43, 1645, 1203, 1662, 1044, 325, 4631, 4797, 3605, 194, 3762, 4627, 5286, 800, 3140, 4627, 5286, 4357, 4396, 2464, 3335, 1]","[0, 3755, 1]"
"[0, 4940, 4946, 1229, 3415, 1426, 1600, 43, 4678, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 3081, 2799, 4092, 2467, 5206, 3152, 325, 2563, 3138, 3605, 194, 1]","[0, 4940, 1]"
"[0, 2430, 3212, 3957, 4690, 4848, 4729, 2714, 4763, 5291, 4812, 358, 3782, 4150, 775, 43, 183, 1116, 1833, 3138, 3605, 194, 1]","[0, 3782, 1]"
"[0, 2430, 3212, 3957, 4690, 3327, 2574, 2056, 4881, 1203, 43, 3589, 1991, 325, 2547, 3152, 4549, 3762, 800, 3605, 194, 3140, 4549, 4942, 3475, 2625, 1]","[0, 2056, 1]"
"[0, 2430, 3957, 4690, 4533, 1309, 4800, 3152, 5015, 3605, 194, 3663, 4627, 5286, 2491, 1]","[0, 4533, 1]"
"[0, 4098, 2036, 1645, 1544, 43, 2587, 2087, 2430, 3212, 3957, 4690, 5034, 4777, 3081, 2799, 4092, 2467, 1710, 3152, 1309, 2563, 3138, 3605, 194, 1]","[0, 4098, 1]"
"[0, 3885, 3172, 4946, 1600, 43, 1606, 2344, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 3081, 2799, 4092, 2467, 5307, 3152, 974, 2563, 3138, 3605, 194, 1]","[0, 3885, 1]"
"[0, 2430, 3957, 4690, 3213, 4848, 4729, 1544, 43, 2030, 3532, 196, 5298, 3140, 4627, 5286, 1936, 3308, 4795, 3496, 2464, 3608, 3605, 194, 1]","[0, 1]"
"[0, 4940, 4946, 1833, 183, 2525, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 3081, 2799, 4092, 2467, 5189, 3152, 325, 2563, 3138, 3605, 194, 1]","[0, 4940, 1]"
"[0, 2430, 3212, 3957, 4690, 2195, 3, 2436, 3327, 2594, 1544, 43, 43, 1600, 1399, 2666, 3820, 1315, 3140, 4549, 1952, 2053, 4528, 4307, 3762, 4549, 800, 3138, 3605, 194, 1]","[0, 2594, 1]"
"[0, 4098, 2036, 1833, 3438, 1426, 1343, 43, 2347, 2430, 3212, 3957, 4690, 5034, 4777, 3081, 2799, 4092, 2467, 5146, 3152, 325, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 4098, 1]"
"[0, 4940, 4213, 4866, 1645, 1203, 43, 4107, 4088, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 3081, 2799, 4092, 2467, 5220, 3152, 325, 2563, 3138, 3605, 194, 1]","[0, 4940, 4213, 1]"
"[0, 4940, 4215, 1203, 43, 1646, 2554, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 5034, 4777, 3081, 2799, 4092, 2467, 5224, 3152, 325, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 4940, 4215, 1]"
"[0, 2430, 3212, 3957, 4690, 3213, 4729, 2714, 4763, 5291, 4812, 2485, 1544, 43, 183, 775, 4156, 2587, 1559, 3138, 3605, 194, 1]","[0, 2485, 1]"
"[0, 2430, 3212, 3957, 4690, 4848, 4729, 2714, 4763, 5291, 4812, 518, 1908, 1203, 43, 183, 775, 4170, 1606, 3138, 3605, 194, 1]","[0, 1908, 1]"
"[0, 2430, 3212, 3957, 4690, 4629, 784, 2714, 4763, 3664, 3207, 2436, 3327, 3453, 4544, 4387, 325, 5333, 3152, 3140, 4627, 5286, 3453, 3177, 3666, 3138, 3605, 194, 1]","[0, 4387, 1]"
"[0, 2430, 3212, 3957, 4690, 38, 4948, 1203, 43, 775, 1606, 2672, 3414, 3820, 1315, 2231, 3762, 4627, 5286, 794, 3138, 3605, 194, 1]","[0, 4308, 1]"
"[0, 2798, 2811, 3, 2798, 43, 3019, 678, 3611, 2430, 3212, 3957, 4690, 5034, 4777, 3081, 2800, 3140, 2799, 3177, 4092, 2467, 5100, 3152, 325, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 2798, 1]"
"[0, 2075, 2713, 5291, 4812, 4683, 2430, 3212, 2587, 4166, 3215, 183, 3176, 5247, 1426, 3176, 775, 1487, 2459, 5247, 325, 1600, 2459, 5336, 3038, 1007, 3512, 3152, 2436, 3327, 4166, 3140, 4627, 5286, 1336, 2475, 3138, 3605, 194, 1]","[0, 2075, 2713, 5291, 4812, 4683, 2430, 3212, 2587, 1]"
"[0, 2430, 3957, 4690, 2436, 3327, 4033, 2051, 1897, 4542, 3589, 4456, 2449, 1309, 4631, 3152, 3127, 2491, 3605, 194, 1]","[0, 4032, 1]"
"[0, 2430, 3212, 3957, 4690, 3, 3547, 4982, 183, 1343, 1833, 3104, 3414, 3820, 1002, 1956, 1]","[0, 3547, 1]"
"[0, 4098, 2036, 1399, 3415, 1343, 1662, 43, 2065, 2430, 3957, 4690, 4844, 3154, 3213, 4729, 5034, 4777, 3081, 2799, 4092, 2467, 5060, 3152, 325, 2563, 3138, 3605, 194, 3327, 2583, 1]","[0, 4098, 1]"
"[0, 2430, 3212, 3957, 4690, 2265, 2436, 3327, 4082, 1544, 43, 43, 1600, 1645, 1159, 2548, 4222, 757, 1314, 3140, 4549, 1952, 2053, 4528, 4307, 3762, 4549, 796, 3138, 3605, 194, 1]","[0, 4082, 1]"
"[0, 4940, 4946, 43, 1399, 3440, 1426, 3722, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 5034, 4777, 3081, 2799, 4092, 2467, 4913, 3152, 974, 2563, 3138, 3605, 194, 1]","[0, 4940, 1]"
"[0, 2430, 3957, 4690, 3327, 2340, 2417, 1636, 2459, 2784, 1203, 1426, 4881, 775, 43, 3645, 1203, 1662, 2438, 4237, 2544, 974, 3516, 3138, 3605, 194, 1]","[0, 2340, 1]"
"[0, 4098, 4452, 3491, 1544, 1420, 1410, 2430, 3957, 4690, 4844, 3154, 3213, 4729, 5034, 4777, 3081, 2799, 3524, 4475, 3152, 1544, 2563, 3138, 3605, 194, 1]","[0, 3491, 1]"
"[0, 2430, 3212, 3957, 4690, 4848, 4729, 2714, 4763, 5291, 4812, 700, 3782, 775, 43, 183, 775, 4184, 1645, 3138, 2813, 3772, 2086, 3138, 3605, 194, 1]","[0, 3782, 1]"
"[0, 2430, 3957, 4690, 4018, 1843, 4848, 4729, 4844, 3154, 4733, 4777, 5327, 4631, 2079, 4629, 1426, 43, 2619, 1897, 4008, 3003, 3259, 2606, 325, 4631, 3152, 2467, 2954, 3740, 2619, 3606, 1]","[0, 2606, 1]"
"[0, 2430, 3957, 4690, 5034, 4777, 3605, 194, 3664, 3081, 2591, 3755, 4629, 1426, 43, 2709, 1645, 3218, 1203, 1662, 3218, 4647, 2986, 5033, 3218, 575, 1]","[0, 2591, 1]"
"[0, 3406, 4686, 5038, 3957, 4690, 4027, 4528, 3491, 186, 5247, 437, 2459, 4498, 3138, 3605, 194, 4549, 800, 3364, 4597, 3146, 2714, 157, 1]","[0, 3491, 1]"
"[0, 2430, 3957, 4690, 5034, 4777, 3605, 194, 3664, 3081, 2340, 2417, 2567, 4717, 2984, 4848, 4729, 389, 3657, 4629, 183, 2709, 1645, 3218, 183, 775, 3218, 4776, 5033, 3218, 1363, 3762, 4627, 5286, 794, 4784, 5330, 1]","[0, 2340, 1]"
"[0, 4098, 4542, 1001, 1559, 1427, 2036, 2430, 3212, 3957, 4690, 5034, 4777, 3081, 2799, 4092, 2467, 1711, 3152, 1311, 3138, 3605, 194, 3327, 2583, 1]","[0, 4098, 1]"
"[0, 5035, 3312, 2572, 3588, 5028, 2464, 3766, 1352, 2714, 4763, 3660, 3207, 3140, 4627, 5286, 4080, 2620, 4093, 3138, 3605, 194, 1]","[0, 1]"
"[0, 3885, 1426, 43, 1833, 3438, 2598, 1933, 4219, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 3081, 2799, 3524, 5159, 3138, 3605, 194, 1]","[0, 3885, 1]"
"[0, 2430, 3212, 3957, 4690, 3311, 3218, 5034, 4777, 2714, 5344, 3212, 5036, 4709, 3655, 2587, 3953, 2574, 2430, 4387, 1343, 43, 1645, 1203, 1662, 875, 325, 4631, 4797, 3605, 194, 3762, 4627, 5286, 800, 3140, 4627, 5286, 4357, 4396, 2464, 3335, 1]","[0, 4387, 1]"
"[0, 2430, 3957, 4690, 4532, 1843, 2784, 775, 4881, 1203, 43, 3645, 183, 775, 2438, 4653, 1033, 3516, 1636, 2459, 3138, 3605, 194, 4549, 3762, 800, 3364, 553, 3146, 4634, 2718, 1600, 807, 1]","[0, 4532, 1]"
"[0, 2430, 3957, 4690, 3213, 4729, 3755, 4631, 5337, 5329, 186, 43, 394, 325, 2563, 3152, 3140, 2435, 4630, 3156, 3453, 3177, 3666, 2077, 3138, 3605, 194, 1]","[0, 3755, 1]"
"[0, 3533, 4946, 1606, 3440, 1426, 43, 3503, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 4092, 2467, 5085, 3081, 2799, 3152, 325, 2563, 3138, 3605, 194, 1]","[0, 3533, 1]"
"[0, 3512, 2981, 4628, 3760, 4395, 3148, 4848, 4729, 3, 3791, 211, 1525, 4442, 608, 4738, 1502, 3740, 327, 3126, 328, 3605, 194, 1]","[0, 3491, 1]"
"[0, 4098, 2036, 1559, 3415, 1426, 1600, 43, 2346, 2430, 3957, 4690, 4844, 3154, 3213, 4729, 5034, 4777, 3081, 2799, 4092, 2467, 5142, 3152, 325, 2563, 3138, 3605, 194, 1]","[0, 4098, 1]"
"[0, 2430, 3212, 3957, 4690, 4760, 1645, 4881, 775, 43, 3152, 325, 2563, 3138, 5291, 4812, 3605, 194, 1]","[0, 4760, 1]"
"[0, 2430, 3957, 4690, 2436, 3327, 4031, 2051, 1897, 4542, 3589, 4456, 2993, 4631, 2709, 1645, 3218, 2709, 1044, 1309, 4631, 3152, 3605, 194, 1]","[0, 4030, 1]"
"[0, 4940, 4215, 1203, 43, 1646, 2554, 2430, 3956, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 3081, 2799, 3524, 5224, 3152, 325, 2563, 3138, 3605, 194, 1]","[0, 4940, 4215, 1]"
"[0, 2430, 3957, 4690, 2002, 2056, 4881, 1600, 43, 1645, 2385, 385, 347, 3152, 3138, 3605, 194, 3140, 4942, 3475, 3, 3452, 4627, 5286, 1]","[0, 2056, 1]"
"[0, 2430, 3212, 3957, 4690, 2224, 38, 4948, 775, 43, 1203, 1606, 3093, 3414, 3820, 1315, 3140, 4549, 1952, 2053, 4528, 4307, 3762, 795, 3605, 194, 1]","[0, 4308, 1]"
"[0, 3512, 2981, 4705, 2084, 3, 4082, 3491, 524, 3820, 1530, 245, 3138, 3605, 194, 3127, 1952, 2053, 4528, 4267, 1887, 1]","[0, 3491, 1]"
"[0, 4940, 4866, 1636, 2459, 1343, 43, 3839, 4089, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 5034, 4777, 3081, 2799, 4092, 2467, 5210, 3152, 974, 2563, 3138, 3605, 194, 1]","[0, 4940, 1]"
"[0, 2430, 3212, 3957, 4690, 2612, 3755, 3725, 1897, 4542, 4629, 1600, 43, 2709, 1645, 5033, 3218, 385, 3218, 1203, 1662, 4647, 2986, 5334, 5339, 4733, 4777, 3605, 194, 3127, 2619, 3, 3608, 3762, 4549, 803, 1]","[0, 2611, 1]"
"[0, 4940, 3986, 4542, 1055, 1606, 1427, 2430, 3957, 4690, 4844, 3154, 4848, 4729, 4733, 4777, 3081, 2799, 3524, 4919, 3152, 1309, 2563, 3138, 3605, 194, 1]","[0, 4940, 3986, 1]"
"[0, 2430, 3212, 3957, 4690, 4848, 4729, 3311, 3218, 5034, 4777, 2714, 4763, 5291, 4812, 2339, 4398, 1203, 1645, 183, 775, 1402, 325, 4631, 4797, 3138, 3605, 194, 3140, 4627, 5286, 4357, 4396, 2464, 3335, 1]","[0, 1]"
"[0, 2430, 3212, 3957, 4690, 5034, 4777, 3524, 4772, 4629, 1344, 2426, 3312, 4019, 1843, 2709, 1645, 3218, 4776, 183, 775, 2709, 875, 325, 4631, 3152, 3138, 3605, 194, 2644, 3140, 4544, 3180, 5352, 5348, 4549, 3762, 796, 1]","[0, 4772, 1]"
"[0, 2430, 3957, 4690, 2714, 4763, 5291, 4812, 2332, 1203, 43, 1203, 1662, 4170, 2587, 1645, 3325, 984, 3740, 796, 3064, 810, 3663, 4549, 3897, 1]","[0, 2332, 1]"
"[0, 2430, 3212, 3957, 4690, 4532, 1843, 2784, 1343, 4881, 183, 3645, 183, 775, 2438, 4653, 1347, 3516, 1821, 2459, 3138, 3605, 194, 4549, 3762, 803, 3364, 614, 3146, 4634, 2718, 325, 807, 1]","[0, 4532, 1]"
"[0, 2430, 3957, 4690, 5034, 4777, 3755, 2591, 1544, 43, 2665, 354, 1645, 2467, 1829, 3740, 803, 3740, 4431, 1887, 2905, 2010, 3152, 325, 4631, 3014, 948, 2070, 1]","[0, 2591, 1]"
"[0, 2430, 3212, 3957, 4690, 4542, 2026, 1204, 1645, 4894, 3327, 4848, 4729, 3589, 3005, 1309, 2547, 3152, 3605, 194, 4627, 5286, 3762, 796, 3140, 4549, 2491, 1]","[0, 2026, 1]"
"[0, 2430, 3212, 3957, 4690, 2139, 2436, 3327, 3554, 4146, 4866, 1343, 43, 183, 1426, 1399, 2679, 3820, 1315, 3139, 4549, 1952, 2053, 4528, 4307, 3762, 4549, 800, 3138, 3605, 194, 1]","[0, 3554, 4145, 1]"
"[0, 3406, 4686, 5038, 3957, 4690, 4027, 4528, 3491, 523, 2459, 4498, 3138, 3605, 194, 4549, 800, 3364, 4590, 3146, 2714, 127, 1]","[0, 3491, 1]"
