,desc,wordId
3583,Chỉ khâu phẫu thuật tự tiêu ( OPTIME  1 1/2 R40 90CM ).Hàng mới 100%. F.O.C,OPTIME
5168,"Chỉ phẫu thuật E27CD240 ECOSORB , USP 2/0 , 75cm, CD, 24mm (12cái/ hộp), hàng mới 100%, hãng  VIGILENZ MEDICAL - Malaysia sản xuất.",Ecosorb
5310,"Chỉ phẫu thuật không tiêu Nylon sợi đơn đen 5.0/3854 ( 12 cái/hộp ) Hãng chủ sở hữu Mani Inc, Nhật Bản. Hàng mới 100%",Nylon
10116,"Sản phẩm cầm máu tự tan, tiệt khuẩn dùng trong phẫu thuật - CELLISTYPT 5 CM X 7 CM (ORIGINAL) (2080508) (15PCS/PAC)",CELLISTYPT
6720,"Chỉ phẫu thuật tổng hợp đa sợi Polyglactin 910, DemeCRYL, dài 75 cm , màu tím, số 3/0, kim tròn dài 26, 1/2 vòng tròn, Mã hàng: G283026B0P, Hộp =12 Tép, Hãng sản xuất: DemeTECH, Hàng hóa mới 100%.",Demecryl
1955,Chỉ khâu phẩu thuật 1x 90cmx40mm 1/2 Cir RBT.Code: NAB1197. Chủng loại Biovek Sutures. 12 tép/hộp. Hãng SX: DYNEK PTY LTD. Năm SX: 2015.Hàng mới 100%,Biovek
2678,"Chỉ khâu phẫu thuật liền kim JBP V Lift  29046A; 29G, cỡ 40mm, 100 chiếc/hộp, sản xuất: năm 2015. Hãng Sản xuất: Feeltech Co., Ltd, dùng trong y tế. Hàng mới 100%",
8504,"ETHIBOND EXCEL GRN 90CM M2 3/0 V-5_Chỉ khâu phẫu thuật vô trùng_Hiệu Ethicon- Hãng Ethicon, Inc._Product code W6936_Hộp 12 cái_Hàng mới 100%_Loại D",ETHIBOND
9099,"Miếng thấm máu gelatin sponge 70x50x10mm ( 05170502) ( Dùng 1 lần trong y tế, hàng mới 100%) (  Hộp /20  cái)",Spon
8854,"Keo sinh học vá mạch máu và màng não 2ml. Hàng mới 100% (5 gói/hộp, Hãng sx Cryolife, Mỹ) (BG3502-5-G(KW-LBL))",BG3502-5-G
10437,"Vật liệu cầm máu dùng cho y tế : Absorbable Hemostat :PAHACEL FIBRIL(Oxidized Regenerated Cellulose)5.1x10.2cm (Code: PCF15, NSX:2015, HSD:2018, NSX:ALTAYLAR MEDICAL CO.LTD)(Hộp/10 cái)",PAHACEL FIBRI
9246,"Nguyên liệu chỉ phẫu thuật không tự tiêu 101019- SU DEK SP BL 7/0 (Polyester), dùng sản xuất Chỉ Polyester-Protibond/Careflon. Hãng sản xuất Teleflex Medical/Mỹ. Hàng mới 100%.",Polyester
11266,VICRYL VIO 75CM M1.5 4/0 RB-1 PLUS_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Product code W9106_Hiệu Ethicon_Hộp 12 cái_Hàng mới 100%,VICRYL
11169,VICRYL VIO 75CM  M3.5  0 MH-1  PLUS_Chỉ phẫu thuật tổng hợp tự tiêu vô trùng_Hiệu Ethicon_Product code W9138_Hộp 12 cái_Hàng mới 100%,VICRYL
1234,"Chỉ khâu phẫu thuật '' TRO-CHROFIL'' 75cm, USP 2/0,  ( hộp/12 cái) hàng y tế, mới 100%",TRO-CHROFIL
9483,PDS II 6/0 70CM 2ARM_Chỉ khâu phẫu thuật vô trùng_Hiệu Ethicon_Product code Z1032H_Hộp 36 cái_Hàng mới 100%_Loại D,PDS
9184,MONOCRYL VIO 70CM M2 3/0 RB-1_Chỉ khâu phẫu thuật vô trùng_Hiệu Ethicon_Product code W3437_Hộp 12 cái_Hàng mới 100%_Loại D,MONOCRYL
723,Chỉ khâu phẩu thuật - MONOPLUS VIOLET 2/0 (3) 70CM HR26 (M) (PAC/36PCS) (C0024026),MONOPLUS
9462,PDS II 5/0 16MM CUR CUT_Chỉ khâu phẫu thuật vô trùng_Hiệu Ethicon- Hãng sx Johnson & Johnson Medical Limited_Product code W9733T_Hộp 24 cái_Hàng mới 100%_Loại D,PDS
4777,Chỉ phẫu thuật bán thành phẩm không tự tiêu BLACK POLYAMIDE MONOFILAMENT USP CODE 6-0. Hãng sản xuất Mazzaferro Monofil Tec Ltda  / Brasil. Hàng mới 100%.,POLYAMIDE
2649,"Chỉ khâu phẫu thuật khử trùng liền kim Polydioxanone suture MP-29-03; 29G, cỡ 38mm, 100 chiếc/hộp. Hãng Sản xuất: 21 Century Medical Co., Ltd; năm sản xuất: 2016; dùng trong y tế. Hàng mới 100%",Polydioxanone
9427,PDS II 0 90CM M3.5 V-34_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Hiệu Ethicon_Product code W9381H_Hàng mới 100%,PDS
11530,"Miếng ghép sọ não sinh học tự tiêu - Osteomesh 25x25x1.25mm, (SN: 17001886 to 93, NSX: 06-2016, HSD: 06-2019), (SN: 17003226 to 27, NSX: 08-2016, HSD: 08-2019)",MESH
11602,Miếng ghép thành bụng -OPTILENE MESH LP 15 X 15 CM  (PAC/5PCS) (1064705),OPTILENE
8480,ETHIBOND EXCEL - ETHIBOND 2/0 26MM 10X75CM V-7 PLE_Chỉ khâu phẫu thuật vô trùng_Hiệu Ethicon_Product code W10B77_Hộp 6 tép_Hàng mới 100%_Loại D,ETHIBOND
9682,PROLENE BLU 2X60CM 7/0 DA BV175-7_Chỉ phẫu thuật tổng hợp đơn sợi không tiêu tiệt trùng_Hiệu Ethicon_Product code M8766_Hộp 12 cái_Hàng mới 100%_Loại D,PROLENE
715,Chỉ khâu phẫu thuật - MONOMAX VOILET 1 (4) 90CM HR40S (M) (PAC/24PC) (B0041098). Hàng mới 100%. HSX:B.BRAUN,MONOMAX
11025,VICRYL UND 75CM 4/0 PC-25 PRIME_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Hiệu Ethicon_Model W9580T_Hộp 24 cái_Hàng mới 100%,VICRYL
2687,"Chỉ khâu phẫu thuật liền kim vô trùng dùng để khâu vết thương ngoài da, phải cắt chỉ. Nylon 2/0, 75cm, 3/8, 26mm. 12 sợi/tá. Mới 100%. Năm sản xuất: 2016. Hãng sản xuất: Shandong Sinorgmed Co., Ltd.",Nylon
11112,VICRYL VIO 30CM M0.5 7/0 TG140-8_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Hiệu Ethicon_Product code W9561_Hộp 12 cái_Hàng mới 100%,VICRYL
3868,"Chỉ khâu phẫu thuật tự tiêu, dùng trong y tế 12S30AL ( OPTIME  R  2/0   1/2KL36 90CM ). Hàng mới 100%",OPTIME
2738,"Chỉ khâu phẫu thuật loại cắt Brilon USP 3/0, mã: B37CD240, 12 cuộn/hộp, SX năm: 2016. Mới: 100%, hãng SX: Vigilenz Medical Devices",Brilon
4605,"Chỉ phẫu thuật  SURGIPRO (36 tép / hộp). VP761X Mới 100%, nhà sản xuất: Covidien",Surgipro
9846,PROLENE BLU 75CM 6/0 DA C-1_Chỉ khâu phẫu thuật vô trùng_Hiệu Ethicon_Product code 8706H_Hộp 36 cái_Hàng mới 100%,PROLENE
9539,PDS II VIO 7/0 70CM CC_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Hiệu Ethicon_Product code Z1711E_Hộp 24 cái_Hàng mới 100%,PDS
5450,Chỉ phẫu thuật không tự tiêu 6/0 BLACK MONO 1000 YDS. Hãng sản xuất Ashaway Line & Twine Mfg. Co./Mỹ. Mới 100%.,
11417,VICRYL VIO 90CM 1 CT_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Hiệu Ethicon_Product code W9431_Hộp 12 cái_Hàng mới 100%,VICRYL
531,"Chỉ Khâu Phẫu Thuật  (C0932060) - Chủng loại:DAFILON,  6/0 (0.7) 45CM DS12 (PAC/36PCS, Hãng sx:B.BRAUN SURGICAL SA. Năm sx: 2016. Hàng mới 100%",DAFILON
9929,PROLENE BLU 90CM M1.5 4/0 CC-20_Chỉ khâu phẫu thuật vô trùng_Hiệu Ethicon_Product code W8840_Hộp 12 cái_Hàng mới 100%_Loại D,PROLENE
10768,VICRYL RAP UND 75CM 3/0 PS-2 PRIM_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Hiệu Ethicon_Product code W9923_Hộp 12 cái_Hàng mới 100%,VICRYL RAP
10859,VICRYL RAPIDE 3/0 75CM26MM CVD_Chỉ phẫu thuật tổng hợp tự tiêu vô trùng_Hiệu Ethicon_Product code W9940_Hộp 12 cái_Hàng mới 100%_Loại D,VICRYL RAPIDE
2412,"Chỉ khâu phẫu thuật không tiêu, dùng trong y tế  ( COROLENE  6/0 1/2 R10 DA 60CM) . Hàng mới 100%",Corolene
3870,"Chỉ khâu phẫu thuật tự tiêu, dùng trong y tế 15S20K (ADVANTIME 3/0 1/2 R18    70CM). Hàng mới 100%",ADVANTIME
3236,"Chỉ khâu phẫu thuật số 20 dùng trong nhãn khoa(Chủng loại Mani Sutures Silk,12 đoạn/hộp). Hãng sản xuất Mani, Inc Nhật. Hàng mới 100%.",SILK
3178,Chỉ Khâu Phẫu Thuật -SAFIL VIOLET 3/0 (2) 70CM DS24 (M) (PAC/36PCS)(C1048235). Năm sản xuất: 2014 Hàng mới 100%,SAFIL
8476,"ETHIBOND EXCEL - ETHIBOND 0 GRN 180CM N-NEEDLED_Chỉ khâu phẫu thuật  vô trùng_Hiệu Ethicon- hãng Ethicon, Inc._Product code W6154_Hộp 12 cái_Hàng mới 100%_Loại D",ETHIBOND
104,"Băng dính y tế thay chỉ khâu da R1548, khổ 1 in x 5 in ( 2.54 cm x 12.7 cm ), đóng gói 25 miếng/ hộp. Chủng loại: R1548, Hãng sản xuất: 3M Company ( hàng mới 100% )",Băng dính y tế thay chỉ khâu da
7929,"Chỉ phẫu thuật, chủng loại PolysortTM Braided Absorbable Suture, mã sp CL812, 36 sợi/hộp, hsx Covidien, mới 100%",Polysort
713,Chỉ khâu phẫu thuật - MONOMAX VOILET 1 (4) 90CM HR40S (M) (PAC/24PC) (B0041098),MONOMAX
9703,PROLENE BLU 45CM M0.4 8/0 BV130-5_Chỉ phẫu thuật tổng hợp không tiêu vô trùng_Hiệu Ethicon_Product code W2777_Hộp 12 cái_Hàng mới 100%_Loại D,PROLENE
11665,"Chỉ Khâu Phẫu Thuật (C2090915). Chủng loại:PREMILENE,  6/0 (0.7) 75CM 2XDR10 CV RCP 1PAC=36PC.Hãng sx:B.BRAUN SURGICAL SA , Năm sx: 2015. Hàng mới 100%",PREMILENE
11043,VICRYL VIO 0  45CM  M3.5  NN_Chỉ phẫu thuật tổng hợp tự tiêu vô trùng_Hiệu Ethicon_Product code V906E_Hộp 24 cái_Hàng mới 100%,VICRYL
5562,CHỈ PHẪU THUẬT LOẠI CATGUT  CHROM  75 CM  EP 3.5  USP  2/0 NEEDLE 3/8 CIR  REV.  CUTIING 24 MM. HÀNG MỚI 100%,CatGut
10107,PROLENE* SOFT MESH 6.4X11.4CM_Chỉ phẫu thuật tổng hợp không tiêu vô trùng_Hiệu Ethicon_Model SPMS_Hộp 6 cái_Hàng mới 100%,MESH
3892,"Chỉ khâu phẫu thuật tự tiêu, dùng trong y tế 18S30E (OPTIME    2/0 1/2 R26    75CM). Hàng F.O.C. Hàng mới 100%",OPTIME
6448,"Chỉ phẫu thuật Polyglactin 910 tự tiêu tổng hợp, tiệt trùng, đa sợi bện số 5/0 (DemeTECH Absorbable Poly (glycolide/L-lactide)(DemeCRYL), 12 sợi/hộp,code: G285017B26P, nsx: DemeTECH,mới100%",Demecryl
7159,Chỉ phẫu thuật vô trùng mới 100% nhãn hiệu Daclon Nylon số 5/0 dài 75cm kim 3/8 kim tam giác vòng kim 16mm,Daclon
8927,LƯỚI THOÁT VỊ PHẪU THUẬT POLYPROPYLENE SURGICAL MESH 10 X 15 CM STANDARD. HÀNG MỚI 100%. SX 2016. LÔ SX160901. HẠN DÙNG 09-2021.,MESH
7031,Chỉ phẫu thuật vô trùng mới 100% nhãn hiệu Catgut chrom có thời gian tự tiêu 14 ngày số 1 dài 75cm kim 1/2 kim tròn vòng kim 40mm. Năm sản xuất : 2014 trở đi,CatGut
10106,PROLENE SUTURE 24N(60CM) 5-0 BLU_Chỉ khâu phẫu thuật vô trùng_Hiệu Ethicon_Product code 8725H_Hộp 36cái_Hàng mới 100%_Loại D,PROLENE
10489,"Vật liệu cầm máu và co nướu ( 4008104 ) dùng trong nha khoa. Hãng sản xuất Premier Dental Products, hàng mới 100%.",
9382,PDS 5/0 90CM M1 DBLE ARMED RB1_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Hiệu Ethicon_Model W9108H_Hàng mới 100%,PDS
2693,"Chỉ khâu phẫu thuật liền kim vô trùng dùng để khâu vết thương ngoài da, phải cắt chỉ. Silk 4/0, 75cm, 3/8, 20mm, 12 sợi/tá. Mới 100%. Năm sản xuất: 2016. Hãng sản xuất: Shandong Sinorgmed Co., Ltd.",SILK
326,"Chỉ  phẫu thuật SURGICRYL 910 EP 2 USP 3/0 NEEDLE 1/2 CIR TAPER 26 MM / 75 CM. Hàng mới 100%, SX năm 2016,  LÔ 160805, hạn sử dụng 7/2021",Surgicryl
5307,"Chỉ phẫu thuật không tiêu Nylon sợi đơn đen 10.0/1406 ( 12 cái/hộp ) Hãng chủ sở hữu Mani Inc, Nhật Bản. Hàng mới 100%",Nylon
9212,MONOCRYL VIO 70CM M3.5 0 MH-1_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Product code W3442_Hiệu Ethicon_Hộp 12 cái_Hàng mới 100%,MONOCRYL
11552,"Miếng ghép sọ não sinh học tự tiêu - Osteomesh-Osteostrip 100x4x3.5mm, (SN: 17005782 to 5810, NSX: 12-2016, HSD: 12-2019), mới 100%",MESH
9720,PROLENE BLU 60CM  M0.5  7/0 CC-11_Chỉ phẫu thuật tổng hợp không tiêu vô trùng_Hiệu Ethicon_Product code W8801_Hộp 12 cái_Hàng mới 100%,PROLENE
1231,"Chỉ khâu phẫu thuật '' TRO-CHROFIL'' 75cm, USP 2/0 ( hộp/12 cái) hàng y tế, mới 100%",TRO-CHROFIL
7912,"Chỉ phẫu thuật, chủng loại PolysorbTM Braided Absorbable Suture, mã sp GL123, sợi dài 75cm, kim dài 26mm, 36 sợi/ hộp, mới 100%",Polysorb
10850,VICRYL RAPIDE 3/0 75CM26MM CVD_Chỉ phẩu thuật tổng hợp tự tiêu tiệt trùng_Hiệu Ethicon_Model W9940_Hộp 12 cái_Hàng mới 100%,VICRYL RAPIDE
4750,"Chỉ phẫu thuật B77CD130 Brilon USP 7/0  75cm, CD 13mm ( 12cái/ hộp), hàng mới 100%, hãng  VIGILENZ MEDICAL - Malaysia sản xuất",Brilon
1640,"Chỉ Khâu Phẫu Thuật (C1048042) -SAFIL VIOLET 2/0 (3) 70CM HR26 (M) (PAC/36PCS). Hãng sx: B.Braun Surgical SA, Năm: 2014Hàng mới 100%",SAFIL
11565,Miếng ghép thành bụng  - PREMILENE MESH 15X15CM (PAC/5PCS) (1064435). Hàng mới 100%. HSX: B.Braun Surgical S.A,MESH
10996,VICRYL UND 75 CM 4/0 PC-25 PRIME_Chỉ phẫu thuật tổng hợp tự tiêu vô trùng_Hiệu Ethicon_Product code W9580T_Hộp 24 cái_Hàng mới 100%,VICRYL
2114,"Chỉ khâu phẫu thuật DEMELON- Nylon Non absorbable suture số 7/0 (dài 75cm, vòng kim 13mm, kim 3/8 tam giác) đã được tiệt trùng, mới 100%, HSX: Demetech - Mỹ, Năm SX: 2017",Demelon
10685,VICRYL PLUS SUTURE 27IN(70CM) 5-0_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Hiệu Ethicon_Model VCP303H_Hộp 36 cái_Hàng mới 100%,VICRYL PLUS
3654,"Chỉ khâu phẫu thuật tự tiêu liền kim vô trùng dùng trong y tế. Catgurt size 3, 75cm, 1/2, 45mm. 12 sợi/tá. Hàng mới 100%. Hãng sản xuất: Shandong Sinorgmed Co., Ltd.",
11792,"Chỉ khâu phẫu thuật vô trùng (Model: TRUSYNTH), số 4-0 chất liệu Polyglactine 910 dài 75cm, kim tròn 1/2 dài 20mm. (12 sợi/ hộp), Hàng mới 100% do hãng Sutures India/ Ấn Độ SX năm 2015.",TRUSYNTH
5031,"Chỉ phẫu thuật dùng trong y tế: CARDIOXYL 3/0 3/8 R18 DA 75CM, Lot: 24495, Nsx: 2015, Hd: 20220, Nhà sx: Peters",Cardioxyl
3294,"Chỉ khâu phẫu thuật SURGICRYL 910 EP 4 USP 1 NEEDLE 1/2 CIR TAPER 40 MM / 90 CM. Hàng mới 100%, SX năm 2017, lô 170102, hạn sử dụng 12/2021",Surgicryl
7805,"Chỉ phẫu thuật vô trùng:  NYLON DACLON 6/0 DS 12mm 75cm (Code : 9071512, NSX : 2017, NSX : SMI A.G, Belgium) (Hộp/12 sợi)(GP: 2298NK/BYT)",Daclon
3407,"Chỉ khâu phẫu thuật Suture(Biosyn* 3-0  75cm V), loại tự tiêu, mã:GM122.36 cuộn/hộp. Mới:100%, sản xuất năm:2015. Hãng SX: Covidien",BIOSYN
1466,"Chỉ Khâu Phẫu Thuật (C0025032)Chủng loại:MONOSYN QUICK UND 4/0 (1.5) 45CM DSMP19M (PAC/36PCS), Hãn sx: B. Braun Surgical SA, Năm sx: 2016. Hàng mới 100%",MONOSYN QUI
8935,LƯỚI THOÁT VỊ PHẪU THUẬT POLYPROPYLENE SURGICAL MESH 15X15 CM STANDARD. HÀNG MỚI 100%. SX 2016. LÔ SX160601. HẠN DÙNG 06-2021.,MESH
10564,VICRYL CTD 2/0 75CM 26MM CRC_Chỉ phẫu thuật tổng hợp tự tiêu tiệt trùng_Hiệu Ethicon_Product code W9527T_Hộp 24 cái_Hàng mới 100%_Loại D,VICRYL
2901,"Chỉ khâu phẫu thuật mắt 2091 loại tự tiêu,chất liệu PGA (12 sợi/hộp). Hãng sản xuất Mani, Inc Nhật. Hàng mới 100% ,sản xuất năm 2014,2015",PGA
9851,PROLENE BLU 75CM M1 5/0 C-1_Chỉ phẫu thuật tổng hợp đơn sợi không tiêu vô trùng_Hiệu Ethicon_Product code 8890H_Hộp 36 cái_Hàng mới 100%_Loại D,PROLENE
873,"Chỉ khâu phẫu thuật - NOVOSYN VIOLET 1 (4) 90CM HR40S (M) (PAC/36PCS) (C0068557). Hàng mới 100%. HSX: B. Braun Surgical S.A.,",NOVOSYN
9137,MONOCRYL UND 45CM M1 5/0 PS-3 PRIM_Chỉ phẫu thuật tổng hợp tự tiêu vô trùng_Hiệu Ethicon_Product code W3204_Hộp 12 cái_Hàng mới 100%,MONOCRYL
6592,"Chỉ phẫu thuật SURGICRYL 910 EP 3 USP 2/0 NEEDLE 1/2 CIR TAPER 26 MM / 75 CM. Hàng mới 100%, SX năm 2017, lô 170102, hạn sử dụng 12/2021",Surgicryl
88,"Băng dính y tế thay chỉ khâu da 3M(TM) Steri-Strip(TM) Skin Closures R1548, khổ 1 in x 5 in (2.54cm x 12.7cm) đóng gói: 25 miếng/ hộp ( hàng mới 100% )",STERI-
8324,"Dụng cụ chuyên dùng trong nha khoa: chỉ khâu phẫu thuật, tự tiêu vô trùng - SILK BLACK 75 CM, 16 MM, hàng mới 100%, nhà sản xuất SMI AG, mã 8101516",SILK
10540,VICRYL CTD 0 30MM TP CUT_Chỉ phẫu thuật tổng hợp tự tiêu vô trùng_Hiệu Ethicon_Product code W9361_Hộp 12 cái_Hàng mới 100%,VICRYL
2236,"Chỉ khâu phẫu thuật dùng trong y tế: COROLENE 5/0 3/8 R13 DA 75CM, Lô:17662, Hd: 2020, Nhà sx: Peters Surgical",Corolene
5569,CHỈ PHẪU THUẬT LOẠI CATGUT CHROM  75 CM EP  3 USP  3/0 NEEDLE   112  CIR  TAPER 26 MM. HÀNG MỚI 100%,CatGut
3181,Chỉ khâu phẫu thuật Sharp Edge TR512 3/8 17 mm Double armed 2-0 75cm White 30 sợi / hộp,
5220,"Chỉ phẫu thuật F29RH37W Ecosorb Fast USP 2/0 90cm, RH37mm ( 12cái/ hộp), hàng mới 100%, hãng  VIGILENZ MEDICAL - Malaysia sản xuất.",Ecosorb fast
4800,Chỉ phẫu thuật bán thành phẩm không tự tiêu BLUE POLYAMIDE MONOFILAMENT USP CODE 5-0. Hãng sản xuất Mazzaferro Monofil Tec Ltda  / Brasil. Hàng mới 100%.,POLYAMIDE
5760,CHỈ PHẪU THUẬT LOẠI DACLON NYLON MONOFIL 75 CM EP 3.5  USP 0 NEEDLE 3/8 CIR CUT.  24 MM. HÀNG MỚI 100%. SX 2015,Daclon
8289,DERMABOND HV VIAL 0.5ML_Keo dán da dùng tại chỗ_Hiệu Ethicon_Product code_AHV12_Hộp 12 cái_Hàng mới 100%,DERMABOND
2873,"Chỉ khâu phẫu thuật mắt 1470 loại không tự tiêu, chất liệu Poly-Propylene (12 sợi/hộp). Hãng sản xuất Mani, Inc Nhật. Hàng mới 100%.Sản xuất năm 2015",PROPYLEN
7133,Chỉ phẫu thuật vô trùng mới 100% nhãn hiệu Daclon Nylon số 10/0 dài 30cm  2kim 3/8 circ spatulated 6.2mm 150,Daclon
2517,"Chỉ khâu phẫu thuật không tiêu, dùng trong y tế 20S15Z        (COROLENE  4/0 1/2 R22 DA 90CM          c). Hàng mới 100%",Corolene
594,Chỉ khâu phẩu thuật - CATGUT CHROM 1 75CM HR30 (PAC/24PCS) (B0560502),CatGut
9180,MONOCRYL VIO 70CM  M3.5  0 MH-1_Chỉ phẫu thuật tổng hợp tự tiêu vô trùng_Hiệu Ethicon_Product code W3442_Hộp 12 cái_Hàng mới 100%,MONOCRYL
6447,"Chỉ phẫu thuật Polyglactin 910 tự tiêu tổng hợp, tiệt trùng, đa sợi bện số 4/0, chiều dài sợi chỉ 75cm, sợi chỉ màu tím, 12 sợi/hộp,code: G284017B26P, nsx: DemeTECH,mới100%",Polyglactin
2916,"Chỉ khâu phẫu thuật mắt 3356 loại không tự tiêu, chất liệu Silk (12 sợi/hộp). Hãng sản xuất Mani, Inc Nhật. Hàng mới 100%",SILK
